raw_destination,unlocode,notes
ROTTDAM,NLRTM,"common misspelling of Rotterdam"
FOR ORDERS,,"not a real destination - awaiting orders, intentionally unresolved"
N/A,,"not a real destination"
TBD,,"not a real destination"
ZA CPT > SG SIN,SGSIN,"Cape Town to Singapore"
MYTLA>SGSIN PEBGC,SGSIN,"Routing via Singapore PEBGC"
SG SIN PEBGC,SGSIN,"Singapore PEBGC"
SG SIN-PEBGC,SGSIN,"Singapore PEBGC"
SGSIN PWBGA,SGSIN,"Singapore PWBGA"
Le Havre (FRLEH),FRLEH,"Extracted UN/LOCODE from parentheses"
Brofjorden (SEBRO),SEBRO,"Extracted UN/LOCODE from parentheses"
Casablanca (MACAS),MACAS,"Extracted UN/LOCODE from parentheses"
Port Klang (Pelabuhan Klang) (MYPKG),MYPKG,"Extracted UN/LOCODE from parentheses"
MARGATE FOR ORDER,,"Awaiting orders, intentionally unresolved"
EGPSD FOR ORDER,,"Awaiting orders, intentionally unresolved"
NLRTM>FRURO,FRURO,"Routing: Rotterdam to Rouen. Target is final destination."
FRLEH > NLRTM,NLRTM,"Routing: Le Havre to Rotterdam. Target is final destination."
FR LEH > DE HAM,DEHAM,"Routing: Le Havre to Hamburg. Target is final destination."
EGSKT>PLGDN,PLGDN,"Routing format"
SGSIN_PEBGA,SGSIN,"Singapore PEBGA variant"
SGP WCB,SGSIN,"Singapore Western Anchorage"
GB FXT <-> NL VLA,NLVLA,"Ferry routing Felixstowe to Vlaardingen"
