unlocode,country,location_code,name,name_ascii,subdivision,latitude,longitude
AEABU,AE,ABU,Abu al Bukhoosh,Abu al Bukhoosh,,25.483333333333334,53.13333333333333
AEAJP,AE,AJP,Al Jeer Port,Al Jeer Port,RK,26.033333333333335,56.05
AEAMF,AE,AMF,Musaffah,Musaffah,AZ,24.383333333333333,54.483333333333334
AEAMU,AE,AMU,Abu Musa,Abu Musa,,25.866666666666667,55.016666666666666
AEARP,AE,ARP,Ahmed Bin Rashid Port,Ahmed Bin Rashid Port,AZ,25.533333333333335,55.55
AEAUH,AE,AUH,Abu Dhabi,Abu Dhabi,AZ,24.466666666666665,54.36666666666667
AEDBP,AE,DBP,Dibba,Dibba,SH,25.616666666666667,56.266666666666666
AEDXB,AE,DXB,Dubai,Dubai,DU,25.25,55.266666666666666
AEEND,AE,END,Esnnad,Esnnad,AZ,24.316666666666666,54.45
AEFJR,AE,FJR,Al Fujayrah,Al Fujayrah,FU,25.116666666666667,56.333333333333336
AEFRP,AE,FRP,Free Port,Free Port,DU,25.25,55.25
AEHSN,AE,HSN,Hassyan,Hassyan,DU,24.9,54.9
AEHTL,AE,HTL,Hulaylah Terminal,Hulaylah Terminal,,25.983333333333334,55.93333333333333
AEHZP,AE,HZP,Hamriya Free Zone Port,Hamriya Free Zone Port,DU,25.3,55.31666666666667
AEJAZ,AE,JAZ,Al Jazeera Port,Al Jazeera Port,RK,25.716666666666665,55.8
AEKHL,AE,KHL,Mina Khalifa/Abu Dhabi,Mina Khalifa/Abu Dhabi,,24.833333333333332,54.666666666666664
AEKLB,AE,KLB,Kalba,Kalba,,25.066666666666666,56.35
AEKLF,AE,KLF,Khor al Fakkan,Khor al Fakkan,,25.333333333333332,56.35
AEMBS,AE,MBS,Mubarras Island,Mubarras Island,,24.583333333333332,53.31666666666667
AEMKH,AE,MKH,Mina Khalid,Mina Khalid,SH,25.35,55.36666666666667
AEMRP,AE,MRP,Mina Rashid Port,Mina Rashid Port,AZ,25.266666666666666,55.28333333333333
AEMSA,AE,MSA,Mina Saqr,Mina Saqr,RK,25.966666666666665,56.06666666666667
AEMZD,AE,MZD,Mina Zayed/Abu Dhabi,Mina Zayed/Abu Dhabi,AZ,24.516666666666666,54.36666666666667
AEQIW,AE,QIW,Umm al Quwain,Umm al Quwain,,25.583333333333332,55.583333333333336
AEQWE,AE,QWE,Jebel Ali Free Zone,Jebel Ali Free Zone,DU,25.0,55.05
AERFA,AE,RFA,Mirfa,Mirfa,AZ,25.466666666666665,53.483333333333334
AERKP,AE,RKP,Rak Khor Port,Rak Khor Port,RK,25.816666666666666,55.95
AERKT,AE,RKT,Ras al Khaimah,Ras al Khaimah,,25.783333333333335,55.95
AERMC,AE,RMC,Rak Maritime City,Rak Maritime City,RK,25.95,56.05
AERUW,AE,RUW,Ar Ruways,Ar Ruways,,24.116666666666667,52.733333333333334
AERWP,AE,RWP,Ruwais Port,Ruwais Port,AZ,24.1,52.71666666666667
AESHJ,AE,SHJ,Sharjah,Sharjah,SH,25.35,55.38333333333333
AESID,AE,SID,Sadiyat Island,Sadiyat Island,,24.533333333333335,54.4
AEULR,AE,ULR,Umm Al Nar,Umm Al Nar,,24.433333333333334,54.5
AEYAS,AE,YAS,Yas Island,Yas Island,AZ,24.316666666666666,52.6
AEZUR,AE,ZUR,Zirku Island,Zirku Island,AZ,24.883333333333333,53.06666666666667
AFDHD,AF,DHD,Dehdadi,Dehdadi,BAL,36.65,66.98333333333333
AFQLT,AF,QLT,Qalat,Qalat,,32.1,66.88333333333334
AFRKH,AF,RKH,Torkham,Torkham,NAN,34.88333333333333,71.91666666666667
AGFAM,AG,FAM,Falmouth,Falmouth,,17.016666666666666,-61.78333333333333
AGPHM,AG,PHM,Parham,Parham,,17.083333333333332,-61.75
AGSJO,AG,SJO,Saint John's,Saint John's,,17.116666666666667,-61.85
AIMBB,AI,MBB,Meads Bay Beach,Meads Bay Beach,,18.166666666666668,-63.13333333333333
AIRBY,AI,RBY,Road Bay,Road Bay,,18.2,-63.083333333333336
AISOM,AI,SOM,Sombrero,Sombrero,,18.6,-63.46666666666667
ALBUT,AL,BUT,Butrint,Butrint,SR,39.75,20.016666666666666
ALHMR,AL,HMR,Himare,Himare,SR,40.13333333333333,19.716666666666665
ALROM,AL,ROM,Romano Port,Romano Port,02,41.36666666666667,19.416666666666668
ALSAR,AL,SAR,Sarandë,Sarande,SR,39.88333333333333,20.0
ALSHG,AL,SHG,Shëngjin,Shengjin,LE,41.8,19.566666666666666
ALVOA,AL,VOA,Vlorë,Vlore,VL,40.46666666666667,19.483333333333334
AOBAB,AO,BAB,Baba,Baba,,-14.833333333333334,12.233333333333333
AOBDT,AO,BDT,Baía dos Tigres,Baia dos Tigres,,-16.6,11.733333333333333
AOCPO,AO,CPO,Capulo,Capulo,,-7.983333333333333,13.166666666666666
AOCUI,AO,CUI,Cuio,Cuio,,-12.983333333333333,12.983333333333333
AODAL,AO,DAL,Dalia,Dalia,,-7.683333333333334,11.783333333333333
AOETN,AO,ETN,Essungo Terminal,Essungo Terminal,,-6.333333333333333,12.166666666666666
AOFBY,AO,FBY,Farta Bay,Farta Bay,,-12.616666666666667,13.2
AOFLT,AO,FLT,Futila Terminal,Futila Terminal,,-5.45,12.183333333333334
AOGIM,AO,GIM,Gimboa,Gimboa,,-7.533333333333333,12.166666666666666
AOGIR,AO,GIR,Girassol Terminal,Girassol Terminal,,-7.633333333333333,11.683333333333334
AOGPO,AO,GPO,Greater Plutonio,Greater Plutonio,,-7.833333333333333,12.116666666666667
AOLBT,AO,LBT,Lombo Terminal,Lombo Terminal,,-6.983333333333333,12.35
AONQI,AO,NQI,Nóqui,Noqui,,-5.85,13.433333333333334
AONTO,AO,NTO,N'Zeto,N'Zeto,ZAI,-7.233333333333333,12.866666666666667
AOPLE,AO,PLE,Tombua,Tombua,NAM,-15.816666666666666,11.85
AOPSA,AO,PSA,Porto Saco (Portosalazar),Porto Saco (Portosalazar),,-15.133333333333333,12.133333333333333
AORSN,AO,RSN,River Sao Nicolau,River Sao Nicolau,,-14.25,12.333333333333334
AOSTL,AO,STL,Sazaire Terminal,Sazaire Terminal,,-6.083333333333333,12.383333333333333
AQABA,AQ,ABA,Aboa,Aboa,,-73.05,-13.416666666666666
AQAPT,AQ,APT,Arturo Prat,Arturo Prat,,-62.5,-59.68333333333333
AQARC,AQ,ARC,Arctowski,Arctowski,,-62.15,-58.46666666666667
AQART,AQ,ART,Artigas,Artigas,,-62.18333333333333,-58.9
AQBHN,AQ,BHN,Bellingshausen,Bellingshausen,,-62.18333333333333,-58.95
AQCAS,AQ,CAS,Casey Station,Casey Station,,-66.28333333333333,110.51666666666667
AQCFZ,AQ,CFZ,Comandante Ferraz,Comandante Ferraz,,-62.083333333333336,-58.38333333333333
AQDAV,AQ,DAV,Davis Station,Davis Station,,-68.56666666666666,77.96666666666667
AQDDU,AQ,DDU,Dumont d'Urville Station,Dumont d'Urville Station,,-66.65,140.0
AQESC,AQ,ESC,Escudero,Escudero,,-62.2,-58.95
AQESP,AQ,ESP,Esperanza,Esperanza,,-63.38333333333333,-56.983333333333334
AQGWL,AQ,GWL,Great Wall,Great Wall,,-62.21666666666667,-58.96666666666667
AQHLY,AQ,HLY,Halley,Halley,,-75.56666666666666,-26.533333333333335
AQJBS,AQ,JBS,Jang Bogo Station,Jang Bogo Station,,-74.6,164.2
AQJCP,AQ,JCP,Juan Carlos Primero,Juan Carlos Primero,,-62.65,-60.38333333333333
